time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0753514774474,0.0310325450982,11.6514626397,6.28193535238,0.0596635923589,0.0,-0.295399522266,0.0573694627944,2.85499434352,-0.0137601749008,0.088624884458,0.0,530.0439220786625,530.5076260692282,528.7882851734036,529.3266890933241
1.3800000000000008,-0.0941983767584,0.0344486194567,11.8235869582,6.28108851221,0.0648787044593,0.0,-0.333307645254,0.056423503115,2.8823769451,-0.0148311915535,0.0832692587699,0.0,422.16484137276956,421.70915198845387,421.61284051177677,421.52039468723626
1.4400000000000008,-0.115663735466,0.0377834693054,12.0011169023,6.28001953819,0.0699353538027,0.0,-0.382730847234,0.0546325237033,3.03484798864,-0.0245774730383,0.0862200978546,0.0,462.3175613458597,462.55551164826426,461.06337629017406,460.2927882919715
1.5000000000000009,-0.140166924883,0.0409874474235,12.1872008173,6.27798078916,0.075594915564,0.0,-0.434599844582,0.0519987538777,3.16753558847,-0.0698691705471,0.106947508017,0.0,455.0026250594731,456.6661430753339,458.8776662363457,455.26715935055137
1.560000000000001,-0.167564028644,0.0440048622587,12.376741627,6.27406558572,0.0823490327991,0.0,-0.479200814699,0.0482394086016,3.15048003202,-0.0573351692253,0.121930898254,0.0,408.3670089348739,409.71372244897725,408.32118136604186,409.43425585093627
1.620000000000001,-0.198413078143,0.0466554657617,12.5730733726,6.27023960841,0.0901477826978,0.0,-0.54997767221,0.0396805889561,3.3931171379,-0.0814780845163,0.142526478418,0.0,489.7827623717762,491.32561898948643,490.1621516343587,488.3618692509371
1.680000000000001,-0.233168433969,0.0487718622501,12.7780668358,6.26519172718,0.0990251442178,0.0,-0.609343324384,0.0304021566625,3.43975269581,-0.0900458375776,0.157046378883,0.0,431.418143325344,432.663478668716,432.29725720262394,431.56861367642773
1.740000000000001,-0.271896928214,0.0501893990355,12.9881964487,6.2600667469,0.108854566293,0.0,-0.682586735661,0.0163044330317,3.56404151751,-0.0774790038358,0.174750376619,0.0,456.6256977030511,458.0603494433364,456.26183609353774,457.258216109123
1.8000000000000012,-0.315052372735,0.0506938120209,13.2041205937,6.25536474747,0.119308824173,0.0,-0.756923013516,6.29023240739e-05,3.63304969871,-0.0802026830838,0.173193458258,0.0,441.0948255723833,440.99568699926397,440.85009257122584,440.6200093551562
1.8600000000000012,-0.363506908046,0.049983520086,13.4293451436,6.25137648345,0.12983600937,0.0,-0.85941438598,-0.0242397212565,3.87342326955,-0.0477795411611,0.179621716066,0.0,493.10369432273933,493.6046022196351,492.1070257684995,494.49811197978187
1.9200000000000013,-0.417453102546,0.0479493127854,13.6620028239,6.24846202631,0.140541782735,0.0,-0.93973679368,-0.0438156084211,3.88161677268,-0.0502125473736,0.175935703113,0.0,423.96123053663786,423.67680516146106,424.45237685369176,424.24193120409564
1.9800000000000013,-0.476817339408,0.0445888879473,13.8979563343,6.2453798668,0.151043936493,0.0,-1.04009428142,-0.0684891339154,3.98291649623,-0.0537885807455,0.173175490919,0.0,455.07133102274736,454.87902972373297,454.1875900740211,453.8990401018456
2.0400000000000014,-0.54312421882,0.0395100116679,14.144509484,6.24165301012,0.161250978035,0.0,-1.17127218504,-0.101179665814,4.23431209312,-0.0892097673848,0.163177521923,0.0,500.4623815012976,499.7582485316191,501.59914601748295,499.017286510266
2.1000000000000014,-0.617414978945,0.0324042284837,14.4052306536,6.23593762143,0.170819365967,0.0,-1.30610328145,-0.136289036158,4.45522577854,-0.111466706847,0.150798158416,0.0,493.91048890544886,493.0178596564383,495.137496958363,493.4902472283147
2.1600000000000015,-0.699520055799,0.0231899310377,14.6762527974,6.22926752408,0.179605714821,0.0,-1.4315834045,-0.171520293661,4.57804527929,-0.110578557145,0.135878008715,0.0,467.85017182211885,466.7057232323871,467.13325757585966,467.1922303045496
2.2200000000000015,-0.788753610622,0.01189802751,14.9513998955,6.22244445772,0.187578658152,0.0,-1.54357631664,-0.205460241128,4.59318373936,-0.120872986443,0.126101807604,0.0,434.68780448881137,433.88432804173254,435.94831117001144,435.07527648335866
2.2800000000000016,-0.884373731667,-0.00139872308124,15.2249186214,6.21509058291,0.19468311776,0.0,-1.64438664776,-0.238330323495,4.52412995076,-0.126178807449,0.0949541576715,0.0,408.9542168391671,406.183324185706,406.9277985677545,406.4373284289981
2.3400000000000016,-0.98685075728,-0.0170258840024,15.4977791678,6.20782845082,0.200053931858,0.0,-1.77200245087,-0.283241039185,4.57074457817,-0.112351425841,0.0754815645198,0.0,446.39287079424577,444.8073482257109,445.5630148673907,446.6788828513682
2.4000000000000017,-1.09639805312,-0.0352222496458,15.7700224705,6.20104159234,0.204394011253,0.0,-1.87998255169,-0.323832978748,4.50406677187,-0.114683980709,0.0651562131227,0.0,409.1973831994496,408.281554870214,409.23554431801557,409.0152382244774
2.4600000000000017,-1.21364709003,-0.0564198180135,16.0437478266,6.194067836,0.208300687561,0.0,-2.02863451459,-0.383413500637,4.61932996407,-0.119510998386,0.0650212812855,0.0,467.96363880689773,467.9560240695098,468.9933410835786,468.6068935552634
2.520000000000002,-1.34021209163,-0.0814687167939,16.3257905275,6.1870544568,0.212669626522,0.0,-2.19052187621,-0.452248208103,4.78104850024,-0.112108291544,0.0850531952817,0.0,482.9081661384183,484.4205561239753,484.09486257598854,484.64060134780146
